Driver,Track,Year,LapTime_s,MeanSpeed,MaxSpeed,ThrottleMean,BrakePct,BrakingEvents
VER,Monaco,2021,74.649,158.59807073954983,272.0,47.739549839228296,24.758842443729904,13
VER,Monaco,2021,74.714,158.4855305466238,266.0,46.9935691318328,23.15112540192926,14
VER,Monaco,2021,74.745,158.54019292604502,268.0,47.71704180064309,23.79421221864952,13
VER,Monaco,2021,74.762,158.69230769230768,271.0,48.08653846153846,25.64102564102564,14
VER,Monaco,2021,74.783,158.45337620578778,270.0,47.90353697749196,24.437299035369776,12
VER,Monaco,2021,74.799,158.21935483870968,270.0,49.29032258064516,25.161290322580644,13
VER,Monaco,2021,74.836,158.2990353697749,271.0,47.97106109324759,24.437299035369776,12
VER,Monaco,2021,74.843,157.7491961414791,269.0,47.057877813504824,23.79421221864952,14
VER,Monaco,2021,74.851,158.42443729903536,267.0,47.12218649517685,25.723472668810288,12
VER,Monaco,2021,74.853,157.9742765273312,268.0,46.437299035369776,23.47266881028939,12
SAI,Monaco,2021,74.621,158.46601941747574,283.0,53.84466019417476,28.802588996763756,12
SAI,Monaco,2021,74.646,157.88064516129032,286.0,54.325806451612905,27.419354838709676,14
SAI,Monaco,2021,74.699,158.46774193548387,282.0,53.73225806451613,28.70967741935484,12
SAI,Monaco,2021,74.731,158.08064516129033,283.0,53.36129032258064,27.09677419354839,13
SAI,Monaco,2021,74.76,157.84193548387097,284.0,53.17741935483871,27.419354838709676,12
SAI,Monaco,2021,74.792,157.88424437299037,284.0,53.58199356913183,27.652733118971064,13
SAI,Monaco,2021,74.808,157.26774193548388,286.0,52.564516129032256,28.70967741935484,13
SAI,Monaco,2021,74.859,157.71153846153845,284.0,52.8525641025641,28.205128205128204,13
SAI,Monaco,2021,74.874,157.3741935483871,284.0,53.016129032258064,29.677419354838708,13
SAI,Monaco,2021,74.877,157.62379421221866,287.0,52.78778135048231,28.617363344051448,14
NOR,Monaco,2021,74.67,159.05144694533763,282.0,52.508038585209,27.331189710610932,16
NOR,Monaco,2021,74.795,158.18649517684887,281.0,52.08360128617363,28.29581993569132,17
NOR,Monaco,2021,74.838,158.10256410256412,285.0,52.56410256410256,29.166666666666668,13
NOR,Monaco,2021,74.991,157.5016077170418,278.0,53.12861736334405,30.54662379421222,13
NOR,Monaco,2021,75.03,157.90384615384616,281.0,52.44230769230769,30.76923076923077,13
NOR,Monaco,2021,75.032,157.42948717948718,281.0,51.52884615384615,27.884615384615387,17
NOR,Monaco,2021,75.034,157.56591639871382,280.0,51.89389067524116,28.938906752411576,16
NOR,Monaco,2021,75.091,157.41346153846155,282.0,51.49038461538461,28.846153846153843,15
NOR,Monaco,2021,75.141,157.5095541401274,281.0,51.65923566878981,27.70700636942675,17
NOR,Monaco,2021,75.141,157.42765273311898,282.0,48.90353697749196,27.331189710610932,14
GAS,Monaco,2021,75.412,156.6996805111821,283.0,48.77635782747604,25.559105431309902,12
GAS,Monaco,2021,75.458,156.94904458598725,280.0,50.054140127388536,25.477707006369428,12
GAS,Monaco,2021,75.514,156.18530351437698,283.0,50.405750798722046,25.878594249201274,13
GAS,Monaco,2021,75.611,155.85031847133757,282.0,48.51273885350319,24.522292993630572,13
GAS,Monaco,2021,75.646,155.83174603174604,281.0,48.60952380952381,26.666666666666668,12
GAS,Monaco,2021,75.646,155.60063897763578,283.0,49.849840255591054,25.23961661341853,12
GAS,Monaco,2021,75.657,156.01910828025478,280.0,48.652866242038215,26.751592356687897,12
GAS,Monaco,2021,75.687,155.81789137380193,282.0,49.34504792332268,27.15654952076677,13
GAS,Monaco,2021,75.691,156.24444444444444,284.0,48.82857142857143,26.666666666666668,13
GAS,Monaco,2021,75.732,156.1487341772152,283.0,49.63607594936709,25.949367088607595,13
HAM,Monaco,2021,72.909,161.7682119205298,280.0,58.08278145695364,25.165562913907287,12
HAM,Monaco,2021,73.382,161.1344262295082,285.0,55.937704918032786,25.901639344262296,14
HAM,Monaco,2021,74.433,158.4433656957929,288.0,54.288025889967635,28.155339805825243,12
HAM,Monaco,2021,74.539,158.56774193548387,284.0,54.538709677419355,25.806451612903224,14
HAM,Monaco,2021,75.08,157.18910256410257,284.0,53.97115384615385,28.205128205128204,13
HAM,Monaco,2021,75.081,157.39743589743588,283.0,52.7724358974359,27.24358974358974,13
HAM,Monaco,2021,75.261,156.89102564102564,285.0,53.77884615384615,27.884615384615387,14
HAM,Monaco,2021,75.277,157.20700636942675,286.0,52.87261146496815,27.70700636942675,12
HAM,Monaco,2021,75.323,156.78980891719746,285.0,52.77070063694268,28.662420382165603,12
HAM,Monaco,2021,75.404,156.52564102564102,284.0,52.13461538461539,26.923076923076923,13
STR,Monaco,2021,74.674,158.2572347266881,282.0,51.62379421221865,26.688102893890676,14
STR,Monaco,2021,75.183,157.3961661341853,279.0,50.86900958466454,26.517571884984026,12
STR,Monaco,2021,75.294,156.99361022364218,283.0,49.805111821086264,27.15654952076677,13
STR,Monaco,2021,75.373,157.22611464968153,282.0,49.65923566878981,27.70700636942675,13
STR,Monaco,2021,75.507,156.06709265175718,282.0,49.61661341853035,25.559105431309902,12
STR,Monaco,2021,75.508,156.2811501597444,280.0,49.35782747603834,26.198083067092654,13
STR,Monaco,2021,75.565,156.40952380952382,284.0,49.926984126984124,26.34920634920635,12
STR,Monaco,2021,75.595,156.1751592356688,290.0,49.2484076433121,26.11464968152866,12
STR,Monaco,2021,75.604,155.7484076433121,282.0,49.952229299363054,27.070063694267514,12
STR,Monaco,2021,75.67,156.1624203821656,287.0,48.80573248407644,26.43312101910828,13
OCO,Monaco,2021,75.316,156.9744408945687,281.0,54.284345047923324,29.073482428115017,13
OCO,Monaco,2021,75.459,156.4153354632588,283.0,53.82428115015974,27.79552715654952,13
OCO,Monaco,2021,75.55,156.5891719745223,281.0,54.36942675159236,28.662420382165603,14
OCO,Monaco,2021,75.823,155.55238095238096,283.0,53.453968253968256,27.936507936507937,14
OCO,Monaco,2021,75.858,155.8825396825397,281.0,54.86666666666667,27.3015873015873,15
OCO,Monaco,2021,76.012,155.56190476190477,282.0,53.43492063492064,28.253968253968253,13
OCO,Monaco,2021,76.026,155.29022082018926,282.0,53.201892744479494,28.706624605678233,14
OCO,Monaco,2021,76.052,155.8639240506329,282.0,53.75632911392405,27.848101265822784,16
OCO,Monaco,2021,76.154,155.5079365079365,283.0,53.2984126984127,27.936507936507937,13
OCO,Monaco,2021,76.171,155.48895899053628,281.0,53.041009463722396,28.391167192429023,13
ALO,Monaco,2021,75.026,157.89102564102564,281.0,46.631410256410255,23.076923076923077,13
ALO,Monaco,2021,75.12,157.57877813504822,282.0,51.81993569131833,27.009646302250808,14
ALO,Monaco,2021,75.213,157.38263665594855,279.0,47.91961414790997,22.186495176848876,12
ALO,Monaco,2021,75.226,157.4888178913738,280.0,47.87539936102237,25.559105431309902,13
ALO,Monaco,2021,75.318,157.30254777070064,279.0,49.181528662420384,24.522292993630572,12
ALO,Monaco,2021,75.422,156.7220447284345,277.0,45.34185303514377,22.683706070287542,13
ALO,Monaco,2021,75.461,157.0096153846154,277.0,47.19230769230769,26.923076923076923,12
ALO,Monaco,2021,75.536,156.63897763578274,277.0,47.26198083067093,23.961661341853034,13
ALO,Monaco,2021,75.667,156.22929936305732,280.0,46.754777070063696,24.840764331210192,14
ALO,Monaco,2021,75.783,156.05095541401275,279.0,48.054140127388536,25.159235668789808,14
RUS,Monaco,2021,75.539,156.52547770700636,284.0,52.33757961783439,29.617834394904456,13
RUS,Monaco,2021,75.618,155.9904458598726,289.0,51.554140127388536,29.617834394904456,12
RUS,Monaco,2021,75.667,155.87261146496814,289.0,51.42993630573248,29.29936305732484,12
RUS,Monaco,2021,75.695,156.1405750798722,287.0,51.760383386581466,28.434504792332266,12
RUS,Monaco,2021,75.705,156.6993670886076,285.0,51.57911392405063,29.430379746835445,12
RUS,Monaco,2021,75.759,156.0,285.0,51.65396825396825,27.3015873015873,12
RUS,Monaco,2021,75.802,155.78412698412697,286.0,51.885714285714286,29.20634920634921,13
RUS,Monaco,2021,75.826,156.1656050955414,287.0,52.146496815286625,29.29936305732484,12
RUS,Monaco,2021,75.855,155.95873015873016,283.0,50.41904761904762,27.936507936507937,12
RUS,Monaco,2021,75.861,155.95238095238096,284.0,50.768253968253966,26.984126984126984,13
TSU,Monaco,2021,74.037,159.5114006514658,288.0,52.11726384364821,24.104234527687296,13
TSU,Monaco,2021,74.077,159.42207792207793,289.0,51.464285714285715,24.675324675324674,12
TSU,Monaco,2021,75.635,156.36624203821657,285.0,51.77388535031847,23.88535031847134,12
TSU,Monaco,2021,75.671,156.05095541401275,291.0,48.93312101910828,25.796178343949045,12
TSU,Monaco,2021,75.777,156.1079365079365,288.0,50.142857142857146,25.07936507936508,12
TSU,Monaco,2021,75.805,156.02215189873417,287.0,50.46518987341772,23.734177215189874,11
TSU,Monaco,2021,75.852,155.87936507936507,288.0,49.72698412698413,25.396825396825395,12
TSU,Monaco,2021,75.88,155.72380952380954,288.0,49.69206349206349,25.71428571428571,13
TSU,Monaco,2021,75.919,155.4620253164557,289.0,49.664556962025316,23.734177215189874,12
TSU,Monaco,2021,75.975,155.72380952380954,289.0,49.885714285714286,24.444444444444443,12
GAS,Monza,2021,89.005,232.36486486486487,326.0,71.52972972972972,18.64864864864865,6
ALO,Monza,2021,85.472,241.94900849858357,332.0,76.72237960339943,13.031161473087819,6
ALO,Monza,2021,85.511,242.07563025210084,332.0,75.69467787114846,13.165266106442578,6
ALO,Monza,2021,85.861,240.6918767507003,330.0,76.84593837535014,12.885154061624648,6
ALO,Monza,2021,85.868,240.48595505617976,330.0,76.41573033707866,13.764044943820226,6
ALO,Monza,2021,85.91,240.9245810055866,329.0,76.53072625698324,12.011173184357542,6
ALO,Monza,2021,86.017,240.32869080779943,330.0,75.82729805013928,13.370473537604457,6
ALO,Monza,2021,86.021,240.74581005586592,329.0,76.61173184357541,12.569832402234638,6
ALO,Monza,2021,86.11,240.09803921568627,331.0,75.75070028011204,13.445378151260504,6
ALO,Monza,2021,86.224,239.95810055865923,332.0,74.76536312849161,13.128491620111731,6
ALO,Monza,2021,86.238,239.80779944289694,329.0,76.3259052924791,13.92757660167131,6
LEC,Monza,2021,85.319,242.4845070422535,329.0,75.95211267605634,12.957746478873238,7
LEC,Monza,2021,85.511,242.14606741573033,331.0,74.83988764044943,13.48314606741573,8
LEC,Monza,2021,85.517,242.27808988764045,332.0,75.76966292134831,12.921348314606742,8
LEC,Monza,2021,85.606,241.93239436619717,332.0,74.3830985915493,13.802816901408452,6
LEC,Monza,2021,85.619,241.95224719101122,332.0,75.20786516853933,13.48314606741573,7
LEC,Monza,2021,85.664,241.5943661971831,331.0,75.38591549295775,12.394366197183098,7
LEC,Monza,2021,85.697,241.65352112676055,332.0,75.18028169014084,13.521126760563378,7
LEC,Monza,2021,85.73,241.10364145658264,340.0,73.07843137254902,14.84593837535014,7
LEC,Monza,2021,85.801,241.21751412429379,339.0,73.30790960451978,14.971751412429379,7
LEC,Monza,2021,85.826,240.82865168539325,335.0,72.75280898876404,14.04494382022472,7
STR,Monza,2021,85.853,241.26478873239438,325.0,76.10985915492958,13.521126760563378,7
STR,Monza,2021,85.868,241.268156424581,321.0,75.46648044692738,14.52513966480447,8
STR,Monza,2021,85.929,241.4217877094972,321.0,76.20111731843575,12.569832402234638,6
STR,Monza,2021,85.98,240.82584269662922,332.0,75.40449438202248,14.887640449438203,7
STR,Monza,2021,86.018,241.0614525139665,320.0,75.93016759776536,13.128491620111731,7
STR,Monza,2021,86.071,240.59383753501402,322.0,75.12605042016807,14.285714285714285,7
STR,Monza,2021,86.077,241.15877437325906,326.0,75.93314763231197,13.92757660167131,7
STR,Monza,2021,86.225,240.35474860335196,322.0,75.60335195530726,13.40782122905028,6
STR,Monza,2021,86.261,240.2138888888889,321.0,75.66666666666667,13.88888888888889,7
STR,Monza,2021,86.296,240.2849162011173,318.0,75.88268156424581,13.966480446927374,7
OCO,Monza,2021,85.566,241.33426966292134,333.0,73.62078651685393,14.887640449438203,8
OCO,Monza,2021,85.905,240.83426966292134,333.0,73.74719101123596,14.887640449438203,7
OCO,Monza,2021,85.971,240.20111731843576,332.0,73.89944134078212,14.24581005586592,8
OCO,Monza,2021,85.993,240.2281690140845,333.0,73.84507042253522,15.211267605633802,7
OCO,Monza,2021,86.042,239.83240223463687,332.0,73.65083798882682,14.52513966480447,8
OCO,Monza,2021,86.256,239.44011142061282,330.0,73.91364902506963,13.92757660167131,7
OCO,Monza,2021,86.264,239.53203342618386,333.0,73.69637883008356,14.206128133704734,7
OCO,Monza,2021,86.275,239.57262569832403,336.0,73.36312849162012,14.804469273743019,7
OCO,Monza,2021,86.321,239.3175487465181,332.0,72.45682451253482,15.32033426183844,7
OCO,Monza,2021,86.383,239.33519553072625,337.0,72.88268156424581,14.804469273743019,8
VER,Monza,2021,85.173,243.03125,325.0,73.86363636363636,15.056818181818182,7
VER,Monza,2021,85.808,241.3249299719888,332.0,72.9047619047619,16.5266106442577,7
VER,Monza,2021,86.309,239.69553072625698,338.0,71.10614525139665,15.363128491620111,7
VER,Monza,2021,86.333,239.89106145251398,329.0,72.34078212290503,15.64245810055866,7
VER,Monza,2021,86.341,239.40056022408965,332.0,71.59663865546219,17.086834733893557,8
VER,Monza,2021,86.377,239.8774373259053,334.0,72.43175487465182,16.434540389972145,7
VER,Monza,2021,86.395,239.62952646239555,334.0,72.12256267409471,17.270194986072422,7
VER,Monza,2021,86.443,239.48189415041782,337.0,71.49860724233983,16.434540389972145,7
VER,Monza,2021,86.499,239.54038997214485,336.0,71.64902506963789,16.434540389972145,7
VER,Monza,2021,86.531,239.54847645429362,332.0,71.77008310249307,16.62049861495845,7
NOR,Monza,2021,84.971,243.3502824858757,330.0,73.57627118644068,16.94915254237288,8
NOR,Monza,2021,85.285,242.1380281690141,333.0,73.49577464788733,16.901408450704224,8
NOR,Monza,2021,85.372,241.9691011235955,332.0,73.05898876404494,16.292134831460675,10
NOR,Monza,2021,85.38,242.22471910112358,332.0,72.37359550561797,16.01123595505618,7
NOR,Monza,2021,85.386,242.12994350282486,332.0,73.42937853107344,16.666666666666664,7
NOR,Monza,2021,85.396,241.90677966101694,334.0,72.52824858757062,14.40677966101695,6
NOR,Monza,2021,85.414,241.89518413597733,331.0,73.69971671388102,15.29745042492918,8
NOR,Monza,2021,85.573,242.0140056022409,330.0,72.97478991596638,16.246498599439775,7
NOR,Monza,2021,85.728,241.3501400560224,330.0,73.01120448179272,16.80672268907563,8
NOR,Monza,2021,85.838,240.73876404494382,331.0,70.36797752808988,15.44943820224719,6
HAM,Monza,2021,85.87,241.6573033707865,326.0,74.24719101123596,16.292134831460675,7
HAM,Monza,2021,86.026,240.58823529411765,335.0,72.8795518207283,16.80672268907563,7
HAM,Monza,2021,86.252,240.24512534818942,329.0,74.55988857938719,15.598885793871867,6
HAM,Monza,2021,86.368,239.45125348189416,353.0,73.37883008356546,18.662952646239557,6
HAM,Monza,2021,86.413,239.82729805013926,333.0,74.15598885793872,15.32033426183844,6
